StationName,District,Area,Latitude,Longitude,Line1, Line2,Line3,Line4,Locations
المنيب,المنيب,المنيب,29.98103,31.21233,0,1,0,0,بوابة الصعيد_ابو زارع
ساقية مكي,الجيزة,العمرانية,29.99559,31.20852,0,2,0,0,القرية الفرعونية_العمرانية
ضواحي الجيزة,الجيزة,ام المصريين,30.00549,31.20781,0,3,0,0,مستشفي ام المصريين_العمرانية الشرقية
الجيزة,الجيزة,ميدان الجيزة,30.01061,31.20705,0,4,0,0,محطة قطار الجيزة_شارع الهرم
فيصل,فيصل,شارع فيصل,30.0174,31.20377,0,5,0,0,شارع فيصل
جامعة القاهرة,الجيزة,جامعة القاهرة,30.0261,31.20096,0,6,0,0,جامعة القاهرة
البحوث,الدقى,كوبري الخشب,30.03587,31.20014,0,7,0,0,المركز القومي للبحوث_ شارع السودان_كوبري الخشب
الدقي,الدقى,ميدان الدقي,30.03842,31.2122,0,8,0,0,المركز الثقافي الروسي_سينما التحرير_شارع مصدق
الأوبرا,التحرير,قصر النيل,30.04186,31.22508,0,9,0,0,نادي القاهرة الرياضي_المركز القومي للترجمة
انور السادات,التحرير,ميدان التحرير,30.04477,31.23555,0,10,0,0,المتحف المصري_قصر النيل_شارع الشيخ ريحان_شارع طلعت حرب_شارع البستان
محمد نجيب,وسط البلد,شارع محمد فريد,30.04532,31.24414,0,11,0,0,قصر عابديين_مسرح الجمهورية_شارع الشيخ ريحان_محمد صبري ابو علم_شارع حسن الاكبر_شارع عبد السلام عارف_شارع شريف_شارع البستان_شارع جواد حسني_باب اللوق
العتبة,وسط البلد,العتبة,30.05235,31.2468,0,12,0,0,مول الاوبرا_مسجد الازهر الشريف_مسجد الحسين_مسجد الرويعي_سور الازبكية_الموسكي_ميدان الاوبرا_نفق صلاح سالم_شارع عبد العزيز_شارع العطار_شارع محمد علي_شارع الجيش_شارع علي الكسار_شارع نجيب الريحاني_شارع 26 يوليو
الشهداء,وسط البلد,رمسيس,30.06106,31.24605,0,13,0,0,مسجد الفاتح_محطة مصر_مطابع السكة الحديد_ترام عبد العزيز فهمي_النزهة_قسم شرطة الازبكية_موقف احمد حلمي_الفجالة_كوبري احمد حلمي_نفق السبتية_شارع الجمهورية_شارع فم البحر_شارع كامل صدقي_شارع الترعة البولاقية
مسرة, شبرا,مسرة,30.07084,31.24504,0,14,0,0,مجمع الاحياء_البوهر زهير_شارع الترعة البولاقية_شارع ابن الفرات_شارع محمد توفيق_شارع افلاطون_شارع البعثة_شارع علي امين عبده_شارع محمود سامي_شارع البوسطة
روض الفرج,شبرا,روض الفرج,30.08061,31.24541,0,15,0,0,جامع سيد المرسلين_شارع الخازندار_مستشفي الساحل_كلية الهندسة بشبرا جامعة بنها_سنترال شبرا مصر_شارع خلوصي_شارع السنباطي_شارع الاهواني_شارع ابراهيم ناجي_شارع طوسون
سانت تريزا,شبرا,سانت تريزا,30.08795,31.24551,0,16,0,0,مستشفي الساحل_كنيسة سانت تريزا_شارع شبرا_شارع جمال_شارع ابو طاقية_شارع عبد الخالق وصفي_شارع المنتزه
الخلفاوي,شبرا,الخلفاوي,30.09783,31.245,0,17,0,0,مستشفي معهد ناصر_ابراج اغا خان_الكورنيش_ميدان المماليك_شارع شفيق باشا_شارع دوليتان_شارع جسر البحر_شارع احمد عمارة_شارع البشير_شارع ماهر_شارع احمد العوامري_شارع عبد الحميد شعبان_شارع احمد بك ندا_شارع سيد عنبر_شارع ابراهيم صبحي_شارع الثلاثيني_شارع السد_شارع الحرية
المظلات,شبرا,المظلات,30.10402,31.24554,0,18,0,0,مستشفي معهد ناصر_شارع اغا خان_نادي ايسكو_محطة عبود_كورنيش النيل_كوبري المظلات_شارع شبرا
كلية الزراعة,شبرا,كلية الزراعة,30.11366,31.24867,0,19,0,0,كلية الزراعة جامعة عين شمس_قصر محمد علي باشا_حديقة محمد علي باشا_محطة عرابي_امتداد شارع احمد حلمي_كوبري المظلات_شارع النحاس_شارع جمال الدين_شارع السادات_شارع الثورة_شارع عمار_شارع عادل
شبرا الخيمة,شبرا,شبرا الخيمة,30.12243,31.24476,0,20,0,0,محطة قطار شبرا_ميدان المؤسسة_امتداد شارع احمد حلمي_شارع الترعة البولاقية_شارع 15 مايو